GAME_DATE_EST,SEASON,HOME_TEAM_ID,VISITOR_TEAM_ID,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,target
2003-11-07,2003,1610612752,1610612758,0.488,0.875,0.444,25.0,47.0,0.517,0.7140000000000001,0.429,36.0,29.0,1
2003-11-07,2003,1610612756,1610612763,0.481,0.7,0.286,20.0,47.0,0.4,0.8,0.148,19.0,30.0,1
2003-11-07,2003,1610612765,1610612749,0.4479999999999999,0.7859999999999999,0.5,23.0,50.0,0.419,0.862,0.182,21.0,45.0,1
2003-11-07,2003,1610612744,1610612762,0.433,0.738,0.462,22.0,41.0,0.384,0.952,0.273,20.0,43.0,1
2003-11-07,2003,1610612754,1610612739,0.423,0.76,0.3329999999999999,23.0,41.0,0.444,0.75,0.5,25.0,46.0,1
2003-11-07,2003,1610612743,1610612746,0.384,0.708,0.45,21.0,51.0,0.4529999999999999,0.765,0.385,24.0,52.0,0
2003-11-07,2003,1610612740,1610612747,0.573,0.727,0.522,31.0,36.0,0.461,0.731,0.3,29.0,32.0,1
2003-11-07,2003,1610612760,1610612757,0.488,0.526,0.421,18.0,40.0,0.439,0.5,0.3329999999999999,17.0,43.0,1
2003-11-07,2003,1610612753,1610612750,0.3879999999999999,0.5379999999999999,0.294,17.0,34.0,0.456,0.722,0.5,23.0,50.0,0
2003-11-07,2003,1610612741,1610612755,0.4270000000000001,0.5,0.4,24.0,40.0,0.475,0.657,0.583,25.0,49.0,0
2003-11-08,2003,1610612762,1610612763,0.45,0.815,0.667,23.0,39.0,0.434,0.75,0.364,22.0,37.0,1
2003-11-08,2003,1610612740,1610612741,0.462,0.758,0.375,27.0,31.0,0.594,0.833,0.5379999999999999,25.0,32.0,0
2003-11-08,2003,1610612749,1610612752,0.429,0.579,0.368,24.0,50.0,0.418,0.857,0.45,17.0,39.0,1
2003-11-08,2003,1610612757,1610612737,0.425,0.9,0.5,28.0,41.0,0.4379999999999999,0.7859999999999999,0.1,21.0,45.0,1
